questions,answers
asking about source of red lady variety of papaya,"told him to visit horticulture research station, kahikuchi, kamrup"
asking about fetrilizer dose,"recommended him to apply 4-50g urea/pit, 50-80g ssp, and 40-50 g mop per pit "
asking about fertilzer dose,"advice to apply urea=18 kg,ssp=33 kg,mop=8 kg/bigha"
asking about fruit fly in yard long bean,advice him to spray malathion 50 ec @ 2ml/litres of water
askingbabout the insects problem in brinjal,application of imidachlorpid 2 2ml per litre of water
asking about post bite  vaccination schedule of rabies.,suggested him as-0-3-7-14-28-60-90 days.
asking for control of pseudostem borer,recommended him to spray malathion 50 ec @ 2 ml per litre of water
asking about fertilizer does in brinjal cultivation,"recommended that application of urea@15kg/bigha ,ssp@42kg/bigha,mop @11kg/bigha"
asking about the cultivation practicesin chillies.,explain in details.
asking about pm kisan samman nidhi yojona,--visit district agriculture office for farmer verification as correction is pending at state
asking about pond management,"advised regarding different aspects of pond management. like, stocking, feeding, liming, manuring etc"
asking about the control mesaure against stem borer infesatation in sali paddy.,advised him to spray chlorpyriphos 20 ec @ 2 ml./litre of water.
asking about control measure of aphids.,advice to spray rogor 2ml per litre of water.
asking fert dose for rainfed potato,"recommended him to apply urea 12 kg, 15 kg dap and 11 kg mop"
asking about the reliable source of deenanath grass,"suggested to contact assam seed corporation or national seed corporation, sixmile, punjabari road, guwahati, phone- 0361 2332552"
asking about kisan credit card,"first of all you have to download the kcc form from the official website of pm kisan, fill up the form and submit to the branch manager any one of the following commercial bank (or your account holding bank)- state bank of india, hdfc, punjab national bank, gramin vikash bank etc along with the xerox copy of your passbook, pan card, adhar card, 2 copies of passport size photo and one written certificate as you are a real farmer from your village 'gaon boha' or gram sevak. 

"
asking for the control measure to control immature fruit drop problem in pumpkin,suggested to spray bonus @ 0.5 ml per litre of water
regarding pm kisan sammanidhi,link the adhaar number with the pm kisan account
asking about the control measure for citrus canker,recomended to spray cristocycline @ 1gm/5 litres of water
asking about cultivation practices of potato,explained him in details
asking about sugarcane red rot problem,suggested to spray bavistin @ 1gm/litre of water.
"asking about the dose of dada insecticide and mahaphal in bottle gourd
",spray dada-2ml/lit of water and mahaphal-2ml/lit of water 
query regarding application of streptomycin.,advise to spray streptomycin @ 2g/lt of water.
query regarding fungal infection,recommended to spray bavistin @ 2gm/l water at 6 days interval
asking for control of immature nut fall,recommended him to apply borax @ 25 gram per plant
"asking about kisan credit card.
",visit district agriculture office for detaied information.
asking cultural practices,explain in details
asking about time of sowing of radish,sept-oct
asking that he wants local cow that gives high milk. ,"do a.i., then generation after generation, the female calf will give increased milk."
query regarding fertiliser dose in chilly,"suggested him to apply urea @ 22kg,ssp @ 36kg and mop @ 11kg/bigha. to control damping-off spray contaf/montaf @ 2ml/lit of water 15 days after transplanting. to control fruit drop spray planofix @ 1ml/4lit of water. to control whitefly spray rogor @ 2ml/lit of water"
cultural practices of ahu rice,explained in details
asking about the control of root rot in ridge gourd,told him to spray roshan plus @ 2ml / l og water
asking control of leaf curl in chilli,spray tafgor @ 2 ml per litre of water to control leaf curl in chilli
wanted to know the fertilizer required in one bigha of cauliflower,advised to apply 12 kg urea 50 kg super 11 kg potash and 1.5 kg borax per bigha
asking about the water quality management,advised him as per the package of practice
query regarding pm kisan ,--told  him to take the necessary information from the district agriculture office 
query about pm kisan samman nidhi.,"farmer application status
farmer name : bijoy lakshmi sinha
active/inactive: active
5th installment: fto is generated and payment confirmation is pending"
asking about the treatment of fever .,suggested to administer melonex plus bolus @ibolus /200 kg body wt. daily.sos.
fetilizer dose of rice,suggested fertilizer dose as urea-4kg per bigha as top dressing
asking about the dissae problem in potato,application of plantomycin @ 2ml per litre of water
asking about fertilizer dose,"advice to spray urea-225gm,ssp-250gm,mop-275gm/plant"
aksed about the pig cum fish farming.,given in detail about the pig cum fish farming.
asking about the control of wilt in cabbage,recommended him to apply saaf @ 2 ml per liter of water and cristocycline @ 1 g per 5 liter of water.
asking about the control measure of powdery mildew in litchi,suggested him to spray saaf @2gm/lit of water
asking about the varieties of potato.,"suggested mr ali to cultivate kufrijyoti,kufrichandramukhi,lr,chipsona and other local varieties under assam agroclimatic condition."
pest control measure during flowering stage,spray malathion 50 ec @ 2ml /lit water
asking about the age of castration period of a dog.,suggested tothe age of castration time is 2-3 month.
micro nutrient deficiency,advised to spray tracel-2 @ 2gram/ litre water
control of aphids in cowpea,spray rogor @ 2 ml per liter of water
query regarding management of micronutrient deficiency.,advise to spray tracel @ 2g/lt of water.
asking about the fertilizer dose of coconut,give him details
query regarding time of application of fertilizers in potato.,advise to apply fertilizers 1-2 days before sowing of seeds.
asking for controll of leaf curling in chilli,spray rogor @ 1.5 mililiter per litre of water
asking about cultural practises.,expalin in details
asking for veterinary expert,??????? 
query regarding bacterial wilt,advised to apply blitox 50 wp @ 1gm/lit and entakon-m @ 1ml/10lit at alternate day
asking about application dose of nano urea," application of nano urea @ 5ml/l water, spray at tillering and panicle initiation stage."
asking about the control of stem rot disease in betel vine,suggested him to spray bavistin @ 2gm/liter of water
query regarding compost making,advised to apply 8-10kg/pit
asking about orange query,recommended that application of savin @1ml/lit  or blytox@1gm/lit use separetly
asking about the cultural practices of mint .,advised him to contact with the krishi vigyan kendra of the district.
asking about the kcc loan,explain in details
wilting in chilli,application of plantomycin @ 2ml per litre ofn water
asking about fertilizer dose for cauliflower,"apply 'urea 24 kg, ssp 50, mop 11 kg' per bigha"
asking about the control measure against fruit fly infestation in pumpkin.,advised him to spray malathion 50 ec @ 2 ml./litre of water and mix 10 gm. gur to it.
asking about the rice cultivation.,forwarded to the agriculture expert.
asking about bitter gourd varieties suitable ,"suggested early bitter gourd varieties- earliest of all, long green, extra long and pusa do mausami"
asking about some micronutrient for mustard,advised to apply green harvest crop booster/tracel @ 2 gram per litre of water
asking about treatment of skin infection of a cow.,suggested him to administer wash the wound with normale saline soln.dress the wound with betadine ointment.then advice him to administer intacef inj i/mly for 5days.
asking about cultivation practice of papaya.,explained in detials.
ask dose of miracle to use in chilli,suggested to spray @ 2 gm per litre of water
asking about fishery expert. ,forward the number to fishery expert.
asking about the control of topborer in sugarcane,suggest him to apply furadon 3g @ 10 gm/sq ft
asking about treatment of chronic respiratory disease in poultry.,suggested to administer azithromycin @ 1 ml/liter of wtaer once daily for 5 days.
asking for stem borer problem,suggested him to spray classic 20 @ 2 ml/litre of water
asking for high yeilding variety name suitable in assam,t x d hibrid is the high yeilding variety  suitable for assam
asking about brinjal shoot borer problem.,suggested to spray malathion 50ec @ 2ml/litre of water.
query regarding pond preparation,advice him to apply lime @ 5kg/bighas of water spread area
asking about nutrient management in boro rice,told him spray paddy special @ 2.5-3 g/lit of water
asking recommended fertilizer dose of brinjal,"apply recommended fertilizer dose of brinjal-urea @ 15 kg,ssp @ 42,mop @ 11 kg per bigha"
asking for pond management aspect,explained in details
asking about the control of blight in tomato,suggested him to him spray ridomil gold @ 2gm/liter of water
asking about short duration variety,"recommended him the variety luit, kapilee, disang"
problem of sheath blight in wheat.,advised him to apply indofil-m-45 @ 2gm / liter of water.
asking about control measure of bacterial wilt in chilli,told him spray plantomycin @ 1g/lit of water
asking about the preventive measure duck disease.,"suggested to give duck plaque vaccine to the ducks ,because is the main deadly disease of ducks."
asking about the fertilizer dose of 20 years coconut plant .,"suggested hiom to apply 1.5 kg urea,2.5 kg ssp,1.75 kg mop and 25 gm borax in 2 split dose."
asking about the micronutrient use in tomato,suggested him to spary multiplex potato special @ 2 ml/liter of water
 query regarding castration of two nos  of piglet -,"castration can be done at 2-3 month of age , immunity is not directly relate with the castration of piglet , the piglets in question, was vaccinated with swine fever vaccine 7 days ago , so castration can be done without any hesitation"
asking about the nutrient management in arecanut,suggested to apply borax @ 40gm/tree in ring method and give light irrigation
asking for friut fly problem,suggested to spray confidence 555 @ 2 ml per litre of water with 1% jaggery
query related to maize,"apply 1 ton fym or vermicompost per bigha, 18 kg urea, 9 kg potash, 33 kg super phosphate per bigha"
late blight of potato.,advised to spray indofil m- 45 @ 2 gram / liter water.
micronutrient for paddy,advised to spray paddy special @ 2gm/l of water
want to know regarding cultivation in fallow land,advice to apply dry cowdung in the fellow land
asking about treatment of mastitis in cow.,suggested to administer mastilep cream over the udder surface twice daily after cleaning the udder with luke warm water.
asking about the disease of brinjal,advised to apply blitox @  2ml /litres of water
asking about micronutrient requirement for chilli,apply  ‘tracel’ @ 2 gm per litre of water
control of whiptail in cauliflower,apply sodium or ammonium molybdenate @ 1 kg per bigha
asking about the nutrient managment on cirus,suggested him to spray multiplex citrus @2.5 gm/lit of water
asked about carp culture,explain him in details..
asking about the control of blast dissease in paddy,suggest him to apply bavistin @ 2gm/litre of water.
asking about nutrient application in bottle,recommended to spray @ 2ml/l water for 10 days interval till before
asking about nutrient of arecanut,"told him urea- 350g, ssp-750g and mop-500g/plant and borax 40g/plant"
query related to pm kisan,"please visit common service centre of your block and take all the documents like aadhar card, pan card, bank passbook and land holding documents with you."
asking about the control measure to control anthracnose disease in chilli.,suggested to apply dithane m-45@2gram/liter of water.
aphids in brinjal,spray rogor @ 2ml/lit
asking about micronuitrient for bitter gourd,suggested to spray tracel-2 @ 2gm/litre of water
asking about the cultivation practice of cauliflower.,explained.
asking about treatment of conjunctivitis in goat.,suggested to give ciplox eye drop @ 4 drops in each eye twice daily.
query regarding control of insect in ber plant.,-spray decis/ alphamethrin 2ml/liter of water 3 times at 5 days interval in the evening time in the absence of rain.
asking about planting time of lemon,planting time is mar-july
asking about the recommended fertilizer dose for colocasia,"suggested that recommended fertilizer dose is like-urea@20 kilogram/bigha,ssp@50 kilogram/bigha,mop@20 kilogram/bigha,fym@2 quintal/bigha.half dose of urea and full doses of ssp and mop, fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting"
asking control measure of leaf curl in chilli,spray tafgor @ 2 ml per litre of water
"asking about the spacing,age of transplanting and fertlizer dose for king chilli","recommended spacing 60 cm both row and planting distance,age of the seedlings should be 45 days.urea 30 kg/bigha,ssp 50 kg/bigha,mop 8 kg/bigha and dried cowdung."
asking about the management of brinjal disease.,i suggest him to apply ridomil at the rate 2g in one litre of water.
asking about bitterness in brinjal,"recommended to spray succininc acid @ 2ml/10 litre water 
apply borux @ 2gm/l water against fruit cracking"
asking about fishery schemes for loan,suggested him to contact with district fisheries deptt. for further details
asking about the herbicide effect in leafy vegetables,suggest him to apply fresh cowdung slurry
farmer want to know about the general practices of kodo- millet cultivation.,"seeds and sowing

:

for line planting 10 kg/ha; for sowing 12.5 kg/ha use of gorru or seed drill is recommended.

seed treatment

:

treat 1 kg of seeds with 2 g thiram or carbendazim.

field preparation

:

plough the field thoroughly using a small iron plough or country plough to fine tilth.

fertilizer application

: 

apply basally fym/compost 12.5 t/ha; nitrogen 44 kg/ha phosphorus 22 kg/ha

spacing

:

for line planting 45 x 10 cm for sowing 10 cm in between plants

weeding

:

first weeding is done on the 15th das and the second weeding on 40th das

thinning

:

thinning is done soon after weeding or before 20 das

plant protection

:

generally no major problem of pests and diseases"
asking about fungal disease,advice to apply bavistin @ 2 gm / litre
control of late blight in potato,spray ridomil mz 72 @ 2 gm per liter of water
asking that his goats are suffering from ppr.,"tr.: for large goat: 1. dexona 5ml 3 no.s @ 3 ml i/m ly daily for 3 days, 2. chloril/anistamine 30 ml @ 4 ml i/m ly daily for 4-5 days, 3. c-flox 30 ml @ 3-4 ml i/m ly daily for 4-5 days, 4. melonex plus 30 ml @ 2-3 ml i/m ly daily for 3-4 days, 5. liv-52 1 lit @ 20 ml orally twice daily."
asking about fishery,transfer to fishery expert
asking about fertilizer dose for potato,"apply 'urea 19 kg, ssp 45 kg, mop 13 kg and borux 1 kg' per bigha"
asking about name of papaya variety,recommended papaya variety is red lady
asking about chilli query,recommended that application of malathione 50 ec@2ml/lit of water
asking about the control measure to control bacterial wilt disease in seedlings of cauliflower,suggested to spray streptocyclin @ 200 mililitre / litre of water.
asking about source of seed of grass,told him to contact kvk kamrup (contact number-9435044574) or horticulture research station
asking about the control measure for late blight disease in potato.,suggested him to spray dithane m-45 or ridomil mz-72@2.5gm/lit.of water alternatively at 7-10 days interval.
"query about a calf giving soft faeces,weak ,bulging stomach  & unthriftiness","advised,1. albendazole 2.himalayan batisha 3.liver tonic etc"
asking about control measure of paddy stem borer,told him to apply tricel 20 ec @ 2 ml per litre of water
control measure of leaf spot in betel vine,spray 'bordeaux mixture'
asking about waether report,"the sky will remain cloudy in this week. the expected
maximum temperature will be around 31.0° to 32.00 c
and the minimum will be 22.0° to 25.0°c. the
expected morning and evening relative humidity will
be in between 90 to 95 % and 46 to 58% respectively.
there is possibility of around 41 mm of rainfall in the
week."
control of stem borer in paddy,spray dursban @ 2 ml per liter of water
query regarding management of micro-nutrient.,advise to spray tracel 2 @ 2g/lt of water.
asking about government scheme,suggested him details
asking about duck farming,explained briefly
asking about the control of antracnose disease in chilli,advised to apply antracol @ 2 gram per litre of water at an interval of 15-20 days for two times
control of bacterial wilt in brinjal,recommended him to spray streptomycin @ 1 gm/ 10 lit of water
"asking about beneficiary status for pm kisan
",contact the vlew of the respective block
asking about the control measure for mole cricket in king chilli.,advised to apply malathion 5% dust @ 5-6 gram/plant .
asking about the chilli fungal disease,application of ridomill m z 72 @ 2 gram per litre of water
asking about the subsidised loan for fishery run by a self help group.,"suggested to approach sird or drda or fishery dept., govt of assam."
asking about growth hormone in cucumber,told him spray planofix 1ml/lit of water
asking about pm kisan samman nidhi yojona,your account is active and you will get your installment soon
 query regarding pm kisan ,told him to take the necessari information the district agriculture office 
"asking about transaction status of pm kisan samman nidhi scheme.
",consult with district agriculture office or block office for pm kisan samman nidhi yojana
asking about the control of fruitfly infestation in pomegranate,suggest him to apply malathion 50 ec @ 2ml/litre of water.
asking about the control measure against bacterial wilt in tomato.,advised him to drench the soil with streptomycin or agrimycin @ 1 gm. in 10 litres of water.
asking about the seed treatment of boro paddy,suggested him to apply captan @10 gm/kg of seed
"asking that his 6 month old calf is suffering from weakness, debility, unable to stand."," provisional diagnosis: fascioliasis. tr.: zanide 200 mg 1 tab orally in empty stomach, in the morning. 2. feroliv 500 ml @ 20 ml daily."
asking about good breed layer for farming.,giriraja and ban raja is the good breed of chicken for laying egg.
asking for the control measure against sheath blight in sali paddy crop cultivation field.,two sprays of 'carbendazim' solution @ 1 gram per 1 litre of water has been suggested to spray on the crop in the direction of the wind. the first at appearance of symptons and the other spray at 10 days after the first spray.
asking about seed treatment and fertilizer application in potato,"for seed treatement apply indofil m 45 @ 5 gram per litre of water for 10 mins and then spread it in moist gunny bag and cover it with another moist gunny bag
fertilizer application- 80 kg dried cowdung, 19 kg urea, 45 kg ssp, 12 kg mop and 3 kg malathion 5 % dust per bigha"
 query regarding registration of land , told him totake the  information from the basundhara scheme instituted by the govt of assam under land $ revenue department  
asking about carp culture,recommended him to apply lime/aqua lite at per doses
asking about lime and fertilizer does in fish pond,"recommended that urea@10kg/bigha/month,ssp@20kg/bigha/month,lime@10kg/bigha/month"
asking about the cultural practices of jackfruit.,trasfer to agri. expert.
control measure of leaf rot in jute cultivation,advised to apply bavistin @ 2 gram / litre of water
asking about the age of castration time of a dog.,suggested to the age of castration time of a dog is 2-3 month.
asked about carp culture.,given him in details.
 query regarding  a case of dog bite with secondary bacterial infection  at the biting site ," told him to remove the suture & remove the necritic tissue[ by using tha sterilised forceps] from the site with the help of a cotton gauge soaked with betadine solution , appose the skin { sos} , inject enrocin 15 ml - 2 ml intra mascularly with dexona 1 ml [ 0.5 ml] , topicure for topical application , inject one shot of zobid & 
 tab serratopeptidase orally   for 7 days "
asking about insect problem in tea,suggested to spray decis @ 1ooml/200 litres of water
asking about the blight of bhot jalakia,advised to spray ridomil mz -72 @ 2ml/litres of water
asking about use of organic fertilizer in potato,explained in details
asking for govt scheme,recommended him to contact office of the district agriculture officer
problem of gandhi bug in rice.,advised him to apply jack pot @ 2 gm / litwer of water.
query regarding kcc.,"first of all you have to download the kcc form from the official website of pm kisan, fill up the form and submit to the branch manager any one of the following commercial bank (or your account holding bank)- state bank of india, hdfc, punjab national bank, gramin vikash bank etc along with the xerox copy of your passbook, pan card, adhar card, 2 copies of passport size photo and one written certificate as you are a real farmer from your village 'gaon boha' or gram sevak. "
asking about the rain -fall after 10 th june,there is a chances of partial rain
agri query,transfered to agri expert
asking about some variety name of potato,suggested to grow variety like-kufri megha
regarding mpkisan sammanidhi,official website - pmkisan.gov.in
asking about the variety of lentil,"advised to grow variety like-b-77,l-9-12,pl-406"
asking about the control measure of blight on pototo,suggested him to spray ridomil gold @2gm/lit of water
asking about fertilizer dose of boro rice,"advice to apply urea 10 kg, dap 6 kg, mop 4 kg / bigha"
asking about sudden mortality of poultry.,suggested to contact with nearest veterinarian for post-mortem examination of the death bird.
asked about herbicides used in jute,advised him to apply s metachlor
asking about fertilizer dosage for musterd cultivation,explained in details
asking about flower drop problem,advice to spray tracel 2 @ 2gm/l water
asking about delivery problem in goat.,suggested to contact with nearest veterinarian immediately for delivery problem.
asking for growth promoter use in brinjal,spray tracel 2 @ 2 gram per litre of water
query regarding tractor insurance scheme,suggested him to consult district agrl. office
asking about control measure of shoot and fruit bore,recommended to spray rogor @ 2 ml per lit of water
disease in chilli.,suggested to apply captaf @2gram/liter of water.
asking about the nutrient management in papaya,told him to spray planofix @ 1ml / 5 l of water
fertilizer dose for cauliflower,"urea- 24kg, ssp- 50kg, mop- 11kg"
asking about where to avail arhar variety,advised to contact with national seeds corporation
asking about the fish seed,explain in detail
asking about the nutrition of coconut,advised him to apply coconut special @ 200 gm/plant in ring method
asking about the recomended doses of fertilizer for boro rice-transplanted under periphery of low-lying area.,"suggested to apply urea-@12kilogram,ssp-@18kilogram,mop@4kilogram for boro rice-transplanted under periphery of low-lying area."
asking about issue related to pm kisan samman nidhi scheme.,your adhar no is not verified. visit district agriculture office for more detail.
want to know regarding fertilizer application in cabbage,"advice to apply urea 35 kg, ssp 50 kg and potash 13 kg per bigha of land"
asking about cultural practices of rice,explained in details
asking about control measure of bark eating caterpillar of citrus,told him to apply insecticide of monocrotophos composition @ 1.5 ml per litre of water
asking about pm kisan installment ,"update the adhaar card and get it verified. visit district agriculture office along with required documents like land documents, adhaar card, pan card and bank details."
asking about pest problem,advice to spray desis
asking about the control of fungal diseas of tomato,spray bavistin @ 2gram/litres of water
asking how to avail agricultural loan,suggested to contact with agricultural dvelopment officer and contact with nearest nationalized bank located in his area
asking about the control measure of yellow stem boer pest attack in paddy field.,suggested to spray chlorpyriphos 20 ec @ 2 mililitre / litre of water.
query related to seed sowing of joha paddy,"sow seed of joha in june july month
for any query related to blue rice visit kvk "
disease in chilli,spray rogor 2 gm/ltr of water
asking about micronuitrient for rice,suggested to spray multiplex paddy special @ 3gm/litre of water
asking about falling of flowers,spray mohafol (2gm/lit of water) @ 2 sprays at 15 days interval
control measure of pest infestation,spray malathion 50 ec @ 2ml/ltr water
asking about treatment of bloody diarrhoea in poultry.,suggested to administer enrox once daily for 3 days.
control measure of fruit fly in pumpkin,spray malathion 50ec @ 2ml + 1gm of molases/litre of water
asking about the fertilzer dose of 4 years old coconut plant.,"advaised him to apply 5 kg cowdung,600 gm urea,1000 gm ssp ,700 gm mop and 25 gm borax in 2 split doses."
fertilizer requirment in cabbage as basal dose,"apply urea 18 kg , ssp 50 kg, mop 13 kg and dried cowdung 6 quintal per bigha as basal dose"
asked what number of fingerligs are requiered for culture in 1 bigha of water,suggested him to rear 900-1000 nom of fingerling for 1 biha water area.
asking about control of leaf curl disease of chilli,advice to apply lancergold @ 2 gm / litre
asking for the control measure against fruit and shoot borers in brinjal.,'profex' solution @ 1.5 milli litres per litre of water has been suggested to spray as the control measure against fruit and shoot borers in brinjal.
asking about collar rot control,advice to spray blitox 50 @ 2gm/l water
asking about control of case worm,recommended to spray tricel 20 or classic 20 @ 2ml/l water for 3 days at 5 days interval
asking about temite infestation on potato,advice to apply tricel 20 @ 2 ml / litre
asking about the fertilier requirement in black pepper,"advised him to apply urea 225gm, ssp 1000gm., mop 100 gm per panlt alongwith 9kg compost in ring method.make a ring of 15 cm depth and  30 cm away from plant and divide the fertilizers in two parts and apply during may/june and august/september."
asking how to avail tractor on subsidy rate,advised to contact with executive engineer(agril)district level for further information
asking about the control measure of stem rot in smooth gourd,suggested him to spray contaf @1ml/lit of water
veterinary,forwarded to the veterinary expert
